Feature,Importance
num__Max Power Delivered,0.4011715320807298
num__vehicle_age,0.12895059616717605
num__Width,0.09600506705687904
num__Wheel Base,0.07147457216711524
num__Max Torque Delivered,0.05439936375434615
num__Length,0.044502324388954136
cat__oem_rolls-royce,0.043413324428881066
cat__model_rolls-royce phantom,0.04336831290606681
num__km,0.012565799464511813
num__No of Cylinder,0.011019747178924264
num__Height,0.010843471712271572
num__Max Power At,0.010183936227215116
num__Kerb Weight,0.00725716385956689
cat__transmission_automatic,0.005059325043958693
cat__transmission_manual,0.004942563696202858
num__Max Torque At,0.004886751627428493
cat__Gear Box_9 speed,0.004770314762639391
cat__oem_mercedes-benz,0.004707699014017573
num__Cargo Volume,0.002957728408225877
num__Seats,0.0021960460946128506
cat__model_toyota vellfire,0.0017787230152230056
cat__state_karnataka,0.001496590335437046
cat__oem_lamborghini,0.0010512770537228736
cat__model_lamborghini huracan,0.0009168535118671915
cat__Front Brake Type_caliper,0.0009111595959819353
cat__state_maharashtra,0.0008617210042758366
cat__model_mahindra xuv700,0.0008312473613666694
cat__Rear Brake Type_disc,0.0007866485776407126
cat__state_delhi,0.0007288616023063489
cat__oem_mahindra,0.0007182223923091191
cat__Drive Type_awd,0.0006060816254508133
cat__Rear Brake Type_caliper,0.0006010609845580178
cat__state_tamil nadu,0.0005921620909351221
cat__state_telangana,0.0005697454076670533
cat__state_haryana,0.0005376331301420605
cat__owner_type_first,0.0005203036469558894
cat__model_mercedes-benz maybach s-class,0.0005172655149921363
cat__body_hatchback,0.0005009191628523985
cat__Gear Box_6 speed,0.00048569093134455827
cat__Rear Brake Type_drum,0.00047569990714269814
num__Doors,0.0004690533570424032
cat__oem_lexus,0.0004596085193610059
cat__model_lexus lx,0.00045816580925247895
cat__model_land rover range rover,0.0004574272236663978
cat__model_land rover range rover sport,0.00045728211249410056
cat__Gear Box_7 speed,0.0004548993675577338
cat__oem_bentley,0.0004423679591300626
cat__owner_type_second,0.00043800722001898157
cat__body_sedan,0.0004335272741106145
cat__body_coupe,0.00043251339712981155
cat__oem_land rover,0.00042464854448659884
cat__owner_type_third,0.0004193811061071158
cat__Drive Type_rwd,0.0004186924594254715
cat__Rear Brake Type_ventilated disc,0.0004112969208433714
cat__oem_hyundai,0.00039632602103729
cat__state_uttar pradesh,0.00039099124845834806
cat__Front Brake Type_ventilated disc,0.0003854991399640583
cat__state_west bengal,0.0003850949781095067
cat__Gear Box_5 speed,0.00037844526167868364
cat__Gear Box_8 speed,0.00034819718374924327
cat__Drive Type_fwd,0.00033763541482278525
cat__Front Brake Type_disc,0.00032526400825019634
cat__oem_audi,0.00032380382692115335
cat__model_bentley continental,0.0002960367061927595
cat__model_mercedes-benz s-class,0.00029296968258430637
cat__oem_bmw,0.00028888939695533093
cat__oem_toyota,0.0002855767611320636
cat__state_gujarat,0.0002648310822779846
cat__body_suv,0.000237751358706097
cat__oem_porsche,0.00023260363238663062
cat__model_lamborghini huracan evo,0.00022369851580803337
cat__Drive Type_4wd,0.00021780997693548416
cat__oem_tata,0.0002140625238100849
cat__oem_mini,0.00020398046436574985
cat__state_rajasthan,0.00020097911133085328
cat__fuel_diesel,0.00019898771573384065
cat__model_audi a4,0.00019156089466498767
cat__fuel_petrol,0.00018426480717707356
cat__model_hyundai santa fe,0.00017799509242007443
cat__model_jaguar f-pace,0.0001776087745604906
cat__oem_hummer,0.0001757298856349999
cat__model_toyota land cruiser,0.0001721663814156586
cat__model_hummer h3,0.00016340301635861594
cat__model_bmw 7 series,0.00016192147233201994
cat__Turbo Charger_False,0.0001594981467794556
cat__Super Charger_False,0.00015246443548562203
cat__body_muv,0.0001511178987922448
cat__Front Brake Type_carbon ceramic,0.00013486609911644978
cat__model_bmw x3,0.00012137330648909635
cat__model_mini cooper,0.00011981875087099466
cat__Super Charger_True,0.00011809771507726127
cat__Tyre Type_runflat,0.00011629639575213953
cat__state_madhya pradesh,0.00011097085422850205
cat__model_mercedes-benz gle,0.00011094271165235447
cat__Turbo Charger_True,0.0001073048832310987
cat__oem_mg,9.691721309402083e-05
cat__oem_chevrolet,9.578367007506159e-05
cat__model_bmw 3 series gran limousine,9.364485709568409e-05
cat__model_toyota innova,9.341925570710524e-05
cat__Tyre Type_tubeless radial,9.213883556884453e-05
cat__model_mg astor,9.099989129222568e-05
cat__model_jaguar xj,9.033767037837293e-05
cat__oem_mahindra ssangyong,8.584465747785063e-05
cat__model_porsche cayenne,8.275388091125086e-05
cat__model_toyota fortuner,8.102247527709405e-05
cat__body_luxury vehicles,7.712653509321714e-05
cat__oem_jaguar,7.387864295603885e-05
cat__model_bmw x1,6.998803557424852e-05
cat__state_punjab,6.969502823776879e-05
cat__model_mercedes-benz glc,6.80871914996303e-05
cat__model_hyundai verna,6.677021378672961e-05
cat__model_mercedes-benz amg gle 53,6.599834837731632e-05
